Site ID,Site Name,Area,Regional,Emin40 (kWh),Emax (kWh),Kota / Kabupaten
SUB619,KPPANARUBANKIN,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB604,KPHAMERANGCMI,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDB182,KPWADON,Area 2,R04_Jawa Barat,308.0,5544.0,SUBANG
BDB092,MANDALABUKIT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB547,JLRAYACINANGSISUB,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDB139,CILAMEINDAH,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDB134,KPBBKNCIMAREME,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDB130,KPBANTARGEDANG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB621,JLDANGDEURCIDAHUDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB590,KPSUNIARAJADMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB592,DSNRAWAMENENGDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB534,DSCIBERES,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDS257,KREASINDO,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS322,JLADIYAKSARAYA,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS264,JLAHMADIUTARA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG789,RNCSENGGANG,Area 2,R04_Jawa Barat,264.0,4752.0,SOREANG
BDS245,KPPALEDANG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS226,KPCIGEMPOL,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDB045,CISEUPAN,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB048,DSSIRNAJAYA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG351,BUKITMUNJUL,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB076,PAJAGALAN,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
