Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
COD134,MEKARWATIANGGRAWATIMAJA,Februari,Tsel Postpaid,7700,1343,124,9,5463,2095451,0,6
KNG184,PASCASARJANAUNIKU,Februari,Tsel Postpaid,7700,1432,137,6,1895,2274865,0,9
MJL022,KERTAWINANGN,Februari,Tsel Postpaid,10600,2284,844,89,22931,3563795,0,11
COD025,CMBCIDATARCISURUPANM,Februari,Tsel Postpaid,10600,1479,0,0,0,2350510,0,3
KNG052,JAPARA,Februari,Tsel Postpaid,10600,1984,447,42,22638,3153644,0,12
KNG051,WAGECALANG,Februari,Tsel Postpaid,10600,1922,539,55,21670,3054179,0,10
MJL023,Paningkiran,Februari,Tsel Postpaid,10600,2674,1004,79,34031,4171694,0,7
MJL011,PALASAH,Februari,Tsel Postpaid,16500,2568,681,66,33685,3710478,0,7
MJL010,RJGALUHKOTA,Februari,Tsel Postpaid,23000,2497,802,77,37462,3896446,0,7
MJL006,SINDNGWANGSA,Februari,Tsel Postpaid,23000,2676,785,73,35890,4174066,0,7
IND021,BANGODUA,Februari,Tsel Postpaid,16500,1644,263,14,12307,2565593,22,6
IND086,KANDANGHAUR,Februari,Tsel Postpaid,10600,1703,376,25,17820,2656869,0,6
IND095,TARIKKOLOT,Februari,Tsel Postpaid,10600,1453,138,8,7230,2268017,478,6
IND105,BLOKBOJONG,Februari,Tsel Postpaid,10600,2396,245,18,9627,3738484,0,5
IND126,MEKARJAYA,Februari,Tsel Postpaid,10600,2140,531,67,19957,3339584,0,7
IND191,HAURGLSKOTA,Februari,Tsel Postpaid,23000,3086,948,81,48762,4814902,0,11
IND096,PRAPATAN,Februari,Tsel Postpaid,10600,1907,341,29,17385,2975462,0,6
IND122,NAMBO,Februari,Tsel Postpaid,10600,2331,739,77,29931,3637518,0,10
IND094,MULYASARI,Februari,Tsel Postpaid,10600,1468,116,11,3303,2290859,139,6
IND089,PEGAGAN,Februari,Tsel Postpaid,10600,1676,269,38,8263,2615272,0,6
IND033,BLOKBORAN,Februari,Tsel Postpaid,10600,2546,1132,118,40019,3971636,0,9
IND113,KNDGHAURIND,Februari,Tsel Postpaid,16500,2523,1020,126,34881,3936576,246,11
IND118,KIAJARAN,Februari,Tsel Postpaid,10600,1911,328,23,15013,2981921,0,9
IND042,JATIMUNGGUL,Februari,Tsel Postpaid,10600,1778,231,22,8088,2773828,0,6
IND052,PABEANUDIK,Februari,Tsel Postpaid,10600,1863,280,14,12294,2906217,0,6
IND049,TEGALGIRANG,Februari,Tsel Postpaid,10600,1531,215,14,9421,2387660,139,9
IND054,WARUIND,Februari,Tsel Postpaid,10600,7142,212,18,10062,2890884,0,6
IND043,SUDIMAMPIR,Februari,Tsel Postpaid,10600,1848,414,37,16074,2884326,0,9
IND040,MUNTURLOSRNG,Februari,Tsel Postpaid,10600,1954,574,46,17617,3048983,0,6
IND039,CANTIGI,Februari,Tsel Postpaid,10600,2567,426,39,17758,4005728,166,11
