Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
TSK561,PAGEURAGEUNG,Maret,TP Postpaid,10600,1945,473,33,23521,3091110,0,6
TSK463,GURANTENG,Maret,TP Postpaid,10600,1906,449,59,20507,3030023,530,10
GRT591,PONDOKSALUYUJAYAMEKARGRTDMT,Maret,TP Postpaid,10600,2418,651,115,21058,3737521,4880,7
CRB799,BLOKTANJUNG,Maret,TP Postpaid,10600,1623,225,13,14434,2533670,277,6
SUB723,MULYASARIPAMANUKANSUBDMT,Maret,TP Postpaid,6600,1608,207,17,11125,2555243,0,6
SUB636,KPSUKAMAHIDMT,Maret,TP Postpaid,10600,1594,271,19,16015,2534154,82,9
SUB658,BOBONGASPAMANUKANTBG,Maret,TP Postpaid,5500,1582,494,40,25614,1914220,0,7
SMD150,KPCIGARGADONG,Maret,TP Postpaid,10600,1798,362,29,20748,2806062,0,6
SMD189,CIPTASARI,Maret,TP Postpaid,10600,2106,536,49,29126,3285848,65,9
SMD239,DSNCIJERUK,Maret,TP Postpaid,10600,1807,457,48,25367,2819481,0,10
GRT175,CISADAAN,Maret,TP Postpaid,10600,1540,487,32,14690,3654950,0,6
CMS539,PUHUNSAGALAHERANGDMT,Maret,TP Postpaid,10600,1518,297,25,18057,2412583,0,9
TSK022,MEKARSARIPANCATENGAHDMT,Maret,TP Postpaid,10600,2312,548,89,34575,3674606,1315,7
BDS025,CIKOLOTOK,Maret,TP Postpaid,10600,1754,464,40,29113,2737161,0,6
BDS801,BANJARSARIPANGALENGANTBG,Maret,TP Postpaid,10600,1714,752,81,37839,2623441,0,7
BDG940,KPMULYANA,Maret,TP Postpaid,10600,2793,770,89,47622,4276492,0,12
BDS415,DSPANGALENGAN,Maret,TP Postpaid,10600,2200,565,48,30849,3367907,0,9
CMS255,PASIRKORED,Maret,TP Postpaid,10600,1606,288,30,16893,2551365,0,6
CMS339,KELWONOHARJO,Maret,TP Postpaid,10600,2277,563,53,28243,3618890,0,12
CRB829,KALIBRINGIN,Maret,TP Postpaid,10600,1369,251,17,15883,2135363,311,9
CRB574,PANGENAN,Maret,TP Postpaid,10600,2208,424,27,25608,3382318,311,6
CRB678,DSBENDUNGAN,Maret,TP Postpaid,7700,1504,335,26,15547,2346655,0,8
