Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total RRU
BDK198,BJNGLOAKALER,Januari,TP Postpaid,10600,2048,619,65,37394,3134922,8
BDK140,BBKNCIPARAY2,Januari,TP Postpaid,10600,2165,533,63,25857,3315580,6
BDK185,PABAKI,Januari,TP Postpaid,10600,1410,353,33,17308,2159432,6
BDK186,JLWARINGIN,Januari,TP Postpaid,10600,2479,854,58,34012,3796786,9
BDK246,MSJDHABBIBI,Januari,TP Postpaid,10600,2079,880,48,27361,3183483,8
BDK249,JLPAHLAWANBLKNG,Januari,TP Postpaid,10600,2060,790,53,28763,3154647,9
BDK466,BONBINBANDUNG,Januari,TP Postpaid,10600,2253,610,49,37016,3451460,10
BDK309,CIBUNTU,Januari,TP Postpaid,10600,1997,841,49,38109,3058139,5
BDK382,SUKAPAKIR,Januari,TP Postpaid,10600,2714,673,57,34304,4155957,8
BDK387,KELSITUSEER,Januari,TP Postpaid,7700,1299,267,14,12691,1989265,6
BDK425,BUKITDAGOUTARA,Januari,TP Postpaid,10600,1982,437,34,18064,10390985,7
BDK460,KEBONTANGKIL,Januari,TP Postpaid,10600,1597,522,49,18033,2445985,6
BDK595,KOMPCIBOLERANG,Januari,TP Postpaid,10600,2083,493,37,23914,5110589,8
BDK512,CIGADUNGRAYA,Januari,TP Postpaid,10600,2149,581,59,28920,3290113,6
BDK516,SANDANGPANGAN,Januari,TP Postpaid,10600,1819,922,77,27212,2785584,6
BDK521,BBKNMUSLIM,Januari,TP Postpaid,10600,2777,1034,86,36652,4252816,8
BDK555,PASIRLUYUHILIR,Januari,TP Postpaid,7700,1801,440,37,22517,2758019,7
BDK557,KELPASIRLUYU,Januari,TP Postpaid,10600,1614,459,34,21978,2471988,8
BDK586,JLIBUINGGIT,Januari,TP Postpaid,10600,1671,787,40,19611,2558940,8
BDK603,JLSUPRATMAN,Januari,TP Postpaid,10600,98527,473,30,23921,2255726,7
BDK608,KEMBARTIMUR,Januari,TP Postpaid,7700,1522,296,15,16656,2330763,6
BDK464,CITARIP,Januari,TP Postpaid,10600,2093,566,48,32906,3204815,8
BDK538,KELLEBAKGEDE,Januari,TP Postpaid,10600,2291,1001,82,34079,3508978,11
BDK641,CISITUBARU,Januari,TP Postpaid,7700,2379,615,40,26907,3643157,6
BDG169,IPTN,Januari,TP Postpaid,10600,2256,507,31,22099,3422676,9
BDG656,SETRAWANGI,Januari,TP Postpaid,10600,2187,590,71,35706,3349133,10
BDG434,SRIWIJAYA,Januari,TP Postpaid,10600,2193,806,64,41883,3359224,7
BDB314,RUMAHPENDUDUKDANSEKOLAH,Januari,TP Postpaid,10600,1963,243,24,15423,3034647,6
BDB318,KPCILEUNCATENJOLAUT-PTL,Januari,TP Postpaid,10600,1864,250,28,16664,2881023,6
BDG171,PLZKOPO,Januari,TP Postpaid,10600,2795,1110,85,38855,4281530,10
BDB319,E_BDB319M41_KPBONGKOKMEKARJAYA-DMT,Januari,TP Postpaid,10600,2519,580,98,28736,3894608,7
CRB564,SUMURHUNI,Januari,TP Postpaid,10600,1668,192,16,11015,2529747,6
CRB562,KEBONBARU,Januari,TP Postpaid,10600,2500,581,49,38072,3792338,7
BDB317,KPCIKADUBOJONGSALAMCMI,Januari,TP Postpaid,10600,1539,153,22,6217,2379062,4
BDB323,BUNISARIGADOBANGKONGBDBTBG,Januari,TP Postpaid,10600,2333,624,46,36861,3606326,7
